validated,Measurement System,Domain,Item ID,Stem,Context,DataType,Responses,Inst,hcp_variable,action_requested,requested_python,specialty_code,hcp_variable_upload,nda_structure,nda_element,template,inst_short,Source,description,valueRange,notes
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.0,Uncorrected_Standard_Score,,"studydata['tbx_reading_score']=studydata.Uncorrected_Standard_Score.round().fillna(-9999).astype(int).astype(str).str.replace('-9999','')",1,tbx_reading_score,orrt01,tbx_reading_score,ORRT_v2.0_orrt01_template.csv,ORRT_v2.0,HCPD HCPA,Reading test score,,
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,Age_Corrected_Standard_Score,,"studydata['read_acss']=studydata.Age_Corrected_Standard_Score.round().fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",read_acss,orrt01,read_acss,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD HCPA,Reading test Age-Corrected Standard Score,,
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,Inst,rename to version_form,studydata['version_form']=studydata['Inst'],"Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",version_form,orrt01,version_form,,ORRT_v2.1,,Form used/assessment name,,
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,Assessment_Name,"strip 'Assessment' from text, and rename to fneproc","studydata['fneproc']=studydata['Assessment_Name'].str.replace('Assessment ','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",fneproc,orrt01,fneproc,,ORRT_v2.1,,name of trial procedure being run,,
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,respondent,rename to comqother,studydata['comqother']=studydata['respondent'],"Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",comqother,orrt01,comqother,,ORRT_v2.1,,Respondent - Other (text),,
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,ItmCnt,,"studydata['wcst_ni']=studydata.ItmCnt.round().fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",wcst_ni,orrt01,wcst_ni,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD HCPA,Number of Items,,
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,Language,,studydata['primary_language']=studydata['Language'],"Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",primary_language,orrt01,primary_language,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD HCPA,Subject's Primary Language,,
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare019,,"studydata['lare019']=studydata['lare019'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare019,orrt01,lare019,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  019,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare020,,"studydata['lare020']=studydata['lare020'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare020,orrt01,lare020,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  020,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare021,,"studydata['lare021']=studydata['lare021'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare021,orrt01,lare021,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  021,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare022,,"studydata['lare022']=studydata['lare022'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare022,orrt01,lare022,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  022,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare023,,"studydata['lare023']=studydata['lare023'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare023,orrt01,lare023,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  023,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare026,,"studydata['lare026']=studydata['lare026'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare026,orrt01,lare026,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  026,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare027,,"studydata['lare027']=studydata['lare027'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare027,orrt01,lare027,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  027,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare028,,"studydata['lare028']=studydata['lare028'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare028,orrt01,lare028,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  028,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare030,,"studydata['lare030']=studydata['lare030'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare030,orrt01,lare030,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  030,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare032,,"studydata['lare032']=studydata['lare032'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare032,orrt01,lare032,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  032,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare033,,"studydata['lare033']=studydata['lare033'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare033,orrt01,lare033,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  033,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare035,,"studydata['lare035']=studydata['lare035'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare035,orrt01,lare035,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  035,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare036,,"studydata['lare036']=studydata['lare036'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare036,orrt01,lare036,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  036,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare037,,"studydata['lare037']=studydata['lare037'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare037,orrt01,lare037,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  037,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare038,,"studydata['lare038']=studydata['lare038'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare038,orrt01,lare038,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  038,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare039,,"studydata['lare039']=studydata['lare039'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare039,orrt01,lare039,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  039,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare040,,"studydata['lare040']=studydata['lare040'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare040,orrt01,lare040,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  040,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare043,,"studydata['lare043']=studydata['lare043'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare043,orrt01,lare043,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  043,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare044,,"studydata['lare044']=studydata['lare044'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare044,orrt01,lare044,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  044,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare045,,"studydata['lare045']=studydata['lare045'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare045,orrt01,lare045,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  045,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare048,,"studydata['lare048']=studydata['lare048'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare048,orrt01,lare048,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  048,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare049,,"studydata['lare049']=studydata['lare049'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare049,orrt01,lare049,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  049,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare052,,"studydata['lare052']=studydata['lare052'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare052,orrt01,lare052,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  052,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare053,,"studydata['lare053']=studydata['lare053'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare053,orrt01,lare053,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  053,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare054,,"studydata['lare054']=studydata['lare054'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare054,orrt01,lare054,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  054,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare056,,"studydata['lare056']=studydata['lare056'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare056,orrt01,lare056,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  056,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare057,,"studydata['lare057']=studydata['lare057'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare057,orrt01,lare057,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  057,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare058,,"studydata['lare058']=studydata['lare058'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare058,orrt01,lare058,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  058,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare059,,"studydata['lare059']=studydata['lare059'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare059,orrt01,lare059,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  059,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare061,,"studydata['lare061']=studydata['lare061'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare061,orrt01,lare061,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  061,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare063,,"studydata['lare063']=studydata['lare063'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare063,orrt01,lare063,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  063,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare065,,"studydata['lare065']=studydata['lare065'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare065,orrt01,lare065,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  065,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare066,,"studydata['lare066']=studydata['lare066'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare066,orrt01,lare066,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  066,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare067,,"studydata['lare067']=studydata['lare067'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare067,orrt01,lare067,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  067,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare068,,"studydata['lare068']=studydata['lare068'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare068,orrt01,lare068,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  068,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare069,,"studydata['lare069']=studydata['lare069'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare069,orrt01,lare069,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  069,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare070,,"studydata['lare070']=studydata['lare070'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare070,orrt01,lare070,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD HCPA,Oral Reading Recognition Item  070,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare073,,"studydata['lare073']=studydata['lare073'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare073,orrt01,lare073,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  073,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare074,,"studydata['lare074']=studydata['lare074'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare074,orrt01,lare074,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  074,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare075,,"studydata['lare075']=studydata['lare075'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare075,orrt01,lare075,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  075,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare077,,"studydata['lare077']=studydata['lare077'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare077,orrt01,lare077,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  077,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare079,,"studydata['lare079']=studydata['lare079'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare079,orrt01,lare079,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  079,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare080,,"studydata['lare080']=studydata['lare080'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare080,orrt01,lare080,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  080,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare081,,"studydata['lare081']=studydata['lare081'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare081,orrt01,lare081,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  081,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare082,,"studydata['lare082']=studydata['lare082'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare082,orrt01,lare082,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD HCPA,Oral Reading Recognition Item  082,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare083,,"studydata['lare083']=studydata['lare083'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare083,orrt01,lare083,ORRT_2.1_orrt01_template.csv,ORRT_2.1,HCPA,Oral Reading Recognition Item  083,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare084,,"studydata['lare084']=studydata['lare084'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare084,orrt01,lare084,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  084,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare086,,"studydata['lare086']=studydata['lare086'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare086,orrt01,lare086,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  086,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare087,,"studydata['lare087']=studydata['lare087'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare087,orrt01,lare087,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  087,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare088,,"studydata['lare088']=studydata['lare088'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare088,orrt01,lare088,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  088,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare089,,"studydata['lare089']=studydata['lare089'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare089,orrt01,lare089,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD HCPA,Oral Reading Recognition Item  089,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare090,,"studydata['lare090']=studydata['lare090'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare090,orrt01,lare090,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD HCPA,Oral Reading Recognition Item  090,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare091,,"studydata['lare091']=studydata['lare091'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare091,orrt01,lare091,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD HCPA,Oral Reading Recognition Item  091,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare092,,"studydata['lare092']=studydata['lare092'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare092,orrt01,lare092,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD,Oral Reading Recognition Item  092,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare093,,"studydata['lare093']=studydata['lare093'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare093,orrt01,lare093,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD HCPA,Oral Reading Recognition Item  093,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare094,,"studydata['lare094']=studydata['lare094'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare094,orrt01,lare094,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD HCPA,Oral Reading Recognition Item  094,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare095,,"studydata['lare095']=studydata['lare095'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare095,orrt01,lare095,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD HCPA,Oral Reading Recognition Item  095,0;1,0=Incorrect; 1=Correct
,,,,,,,,NIH Toolbox Oral Reading Recognition Test Age 3+ v2.1,lare096,,"studydata['lare096']=studydata['lare096'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')","Instrument not in published NIH Toolbox Data Dictionary, but Helpdesk says var labels same as previous version",lare096,orrt01,lare096,ORRT_v2.1_orrt01_template.csv,ORRT_v2.1,HCPD HCPA,Oral Reading Recognition Item  096,0;1,0=Incorrect; 1=Correct
